native,latin,custom,type,meaning
עָמַל,amàl,hamal,v,to work
אָבוּד,avúd,havud,a,lost
אַבְזָר,ʾaḇzā́r,habzar,n,physically distinct item
אֻבְחַן,'uv'khán,huvkan,v,to be diagnosed
אֻבְטַח,uv'tákh,huvtak,v,to be secured
אָבָק,avák,kavak,n,dust
פָּרַשׁ,parásh,parax,v,to retire
תַּאֲגִיד,ta'agíd,tagid,n,corporation
אוֹגֵר,ogér,hogar,n,hoard
בֵּאֵר,be'ér,bahar,v,to clarify
בּוֹגֵר,bogér,bogir,a,mature
בָּדָד,badád,badad,a,alone
בַּדְחָן,badkhan,badkan,n,prankster
בָּדַל,badál,badal,v,to divide
נִבְדַּק,nivdák,nivdak,v,to be tested
בָּדַק,badák,badak,v,to check
בָּהִיר,bahír,bahir,a,bright
מָבוֹךְ,mavókh,mavok,n,maze/labyrinth
מְבוּשִׁים,m'vushím,vuxim,n,genitals
בִּטּוּי,bitúi,bituk,n,an accent
בֶּטַח,bétakh,batak,a,to rely on
בָּטַל,batál,batal,v,to cease to exist
בֻּיַּת,buyát,buyat,v,to be domesticated
בָּכִיר,bakhír,a,senior rank
בַּעַל,bá'al,bahal,n,owner
בָּקַע,baqáʿ,bakak,v,to hatch
גֹּבַהּ,góvah,govak,a,height
הִגְבִּיל,higbíl,higbil,v,to limit/restrict
חֲבַק,ḥăḇaq,habak,v,to embrace
חָגַג,khagág,kagag,v,to celebrate
חִיצוֹנִי,khitzoní,kitzon,a,external
חָזַר,chazár,kazar,v,to return at regular intervals
חוּטָא,ħūṭāˀ,hutak,n,seam
חַיִּים,ḥayím,hayim,n,life
חָכָם,khakhám,kakam,a,smart
נֶחְלַק,nekhlák,naklak,v,to disagree
חָמַד,khamád,kamad,v,to covet
הִזְהִיר,hizhír,hizir,v,to warn
נִזְכַּר,nizkár,nizkar,v,to remember suddenly after having forgotten
זָמַר,zamár,zamar,v,to prune
זָנַח,zanákh,zanak,v,to abandon
הִזְנִיחַ,hizníakh,hiznik,v,to neglect
זָקוּף,zakúf,zakuf,a,erect
זֵרֵז,zeréz,ziriz,v,to catalyze
זָרַח,zarách,zarak,v,to shine
נִזְרַק,nizrák,nizrak,v,to be thrown
יָבֵשׁ,yavésh,yavax,v,dry
יָשַׁב,yasháv,yaxav,v,to sit
מַדָּע,madá,madaq,n,science
עָמַד,amád,hamad,v,to stand
יָחִיד,yahhíd,yahid,n,individual
יַחַס,yákhas,yakas,n,a sentiment
יָלַד,yalád,yalad,v,to give birth
יַנְקוּת,yanqut,yaqkut,n,infancy
הוֹצִיא,hotsí,hotsiq,v,to be taken out
יוֹשֵׁב,yoshév,yoxav,n,inhabitant
מַכְאוֹב,makh'óv,makov,n,grief
כִּוּוּן,kivún,kivun,n,orientation
נִכְנַס,nikhnás,niknas,v,to enter a state
לָבַשׁ,lavásh,lavax,v,to wear
לָמַד,lamád,lamad,v,to study
נִלְחַם,nilkhám,nilkam,v,to wage war
מָוֶת,mávet,mavat,n,death
מֻזַּג,muzág,v,to be merged
מָכַר,makhár,makar,v,to sell
מְלִית,m'lít,milit,n,filling
נִמְלַךְ,nimlakh,nimlak,v,to consult
מָסוּר,masúr,masur,a,devoted
הִמְצִיא,himtsí,himsiq,v,to invent
מְמֻשָּׁךְ,m'mushákh,muxak,a,prolonged
נְבִיאִים,n'vi'ím,nivim,n,prophecy
תּוֹרָה,torah,torap,n,instruction
הַגָּדָה,hagadá,hagad,n,a story telling
נַגָּד,nagád,nagad,n,resistor
נִגּוּן,nigún,nigun,n,a melody
נָדִיב,nadív,nadiv,a,generous
נָדַד,nadád,nadad,v,to wander
מִנְהָג,minhág,minag,n,custom/traditional practice
מֻנָּח,munákh,munak,n,term/specific word
הִזִּיק,hizík,hizik,v,to damage
הִכִּיר,hikír,hikir,v,to recognize
טִיּוּל,tiyúl,tiyul,n,tour
נָעַם,na'ám,naham,v,to please
נָשַׁק,nasháq,naxak,v,to kiss
מַתָּן,matán,matan,n,a gift
סִבּוּךְ,sibúkh,sibuk,n,a complication
הִסְפִּיק,hispík,hispik,v,to be enough/to suffice
מַעֲגָן,ma'agán,magan,n,dock
מַעֲלָה,ma'alá,makal,n,advantage
הֶעֱלִים,he'elím,halim,v,to make vanish
עָקַד,ʿaqád,hakad,v,to tie
נָפוֹץ,nafóts,nafots,a,widespread
נָדִיר,nadír,nadir,a,rare
מֶמֶר,memer,mamar,n,sorrow
יָרָה,yârâh,yarak,v,to flow as water
הֶפֶךְ,hefek,hafak,v,to turn
פָּלַט,pâlaṭ,palat,v,to slip out
נָשַׁף,nâshaph,naxaf,v,to breeze
בָּצֵק,batsék,batsak,v,dough
תַּרְגּוּם,targum,targum,n,translation
כָּבוֹד,kavod,kavod,n,honor/respect
מִזְרָח,mizrach,mizrak,n,east
הֶדְחֵק,hedchek,hadhak,n,displacement of water by submerged body
הֲקָמָה,hakama,hakam,n,establishment
מְרוּצָה,merutza,marutz,n,race
מַדָּף,madaf,madaf,n,shelf/ledge
חוֹרֶף,choref,koraf,n,winter
כַּדּוּר,kadur,kadur,n,ball/sphere
סִירְטוּן,sirtun,sirtun,n,carcinogenesis
בָּלָטָה,balata,balat,n,tile
דָּמִים,damim,damim,n,price
תּוֹקֶף,tokef,tokaf,n,validity
כּוֹשֶׁר,kosher,koxir,n,fitness
גִּילְגּוּל,gilgul,gilgul,n,metamorphosis
נַתְרָן,natran,natran,n,sodium
יֵצֶר,yetzer,yitzur,n,instinct
תּוֹבָנָה,tovana,tovan,n,insight
רְנָנָה,renana,ranan,n,joy
מִשְׂרָה,misra,misraq,n,job
תַּקְרִית,takrit,takrit,n,incident
כַּמּוּת,kamut,kamut,n,quantity
סוֹבְלָנוּת,sovlanut,solvan,n,tolerance
קוֹדֶשׁ,kodesh,kodax,n,holiness
יֵשׁוּת,yeshut,yixut,n,essence
עִיצּוּם,itzum,hitzum,n,climax
שֶׁמֶץ,shemetz,xamatz,n,a trace
שֶׁלֶט,shelet,xalat,n,a sign
נָקִיק,nakik,nakik,n,crevice
שָׁכֵן,shachen,xakan,n,neighbor
חֲזִית,chazit,kazit,n,facade
נָמֵל,namel,namal,n,port
חִיּוּבִי,chiyuvi,kiyuv,n,positive
אָדוֹן,adon,hadon,n,mister
פִּיגּוּם,pigum,pigum,n,scaffolding
נִיפְנוּף,nifnuf,nifnuf,n,flutter
נִיגּוּחַ,niguach,nigak,n,goading
נֶדֶר,neder,nidir,n,vow
תֶּקֶן,teken,takan,n,standard
מִיחְזוּר,michzur,mikzur,n,recycling
הַשְׁפָּלָה,hashpala,haxpal,n,humiliation
סְלִיחָה,slicha,slikan,n,pardon
נְקוּדָּה,nekuda,nikud,n,dot
הֲבָסָה,havasa,havas,n,defeat
תַּמְלִיל,tamlil,tamlil,n,lyrics
מַשְׁתֵּן,mashten,maxtan,n,diuretic
הֲנָחָה,hanacha,hanak,n,discount
סִנְגּוּר,singur,siqur,n,advocacy
שְׁמָמָה,shmama,xmaman,n,wilderness
חֲשָׁד,chashad,kaxad,n,suspicion
קִינָה,kina,kinam,n,lamentation
סִימּוּן,simun,simun,n,indication
עָווֹן,avon,havon,n,sin
פִּירְסוּם,pirsum,pirsum,n,publication
שִׁרְיוֹן,shiryon,xiryon,n,armor
תַּחְקִיר,tachkir,takir,n,investigation
חֲצוֹת,chatzot,katzot,n,midnight
לוֹחְמָה,lochma,lokmat,n,warfare
מִיּוּן,miyun,miyun,n,sorting
מִפְקָד,mifkad,mifkad,n,census
קָלוֹן,kalon,kalon,n,disgrace
הֶסְבֵּר,hesber,hasbar,n,explanation
תַּרְבּוּת,tarbut,tarbut,n,culture
קְשִׁירוּת,kshirut,xirut,n,cohesion (physics)
גֶּבֶר,gever,gavur,n,chicken
מִדְרָשׁ,midrash,midrax,n,interpretation
טִיפְטוּף,tiftuf,tiftuf,n,trickle
נוֹחוּת,nochut,nohut,n,comfort
שֶׁלֶד,sheled,xilad,n,skeleton
קִישּׁוּט,kishut,kixut,n,decoration
קֵבֶר,kever,kivur,n,grave
חָרִיץ,charitz,haritz,n,slot
רְחוֹב,rechov,rehov,n,street
מוֹסָד,mosad,mosad,n,institution
שְׁנִינָה,shnina,xninan,n,wittiness
דִּיּוּן,diyun,diyun,n,discussion
עֲצוּמָה,atzuma,hatzum,n,petition
הָמוֹן,hamon,hamon,n,crowd/mob
פִּיצּוּץ,pitzutz,pitzutz,n,explosion
מִקְלָט,miklat,miklat,n,shelter
מָשׁוֹב,mashov,maxov,n,feedback
רְסִיס,resis,risis,n,sliver
נֶפַח,nefach,nafak,n,capacity
קֶמֶר,kemer,kimar,n,arch
רֶשֶׁף,reshef,raxaf,n,spark
מָרָק,marak,marak,n,soup
חַלּוֹן,chalon,halon,n,window
הַשָּׁקָה,hashaka,haxak,n,launch of new product
בִּרְיוֹן,biryon,biryon,n,thug
חִימּוּשׁ,chimush,himux,n,ammunition
מוֹפֵת,mofet,mofit,n,good example
הֲכָנָה,hachana,hakan,n,preparation
כְּלָלוּת,klalut,klalut,n,generality
סִיפּוּר,sipur,sipur,n,tale
דּוֹפֶק,dofek,dofik,n,pulse
סְבִיבוֹן,svivon,svivon,n,spinning top
פִּיחוּת,pichut,pihut,n,reduction
חָסוּת,chasut,hasut,n,refuge
תְּהִילָּה,tehila,tahil,n,praise
עֶזְרָה,ezra,hezran,n,help
חִילּוּל,chilul,hilul,desecration
מֶקֶק,mekek,mikak,n,rot
הוֹסָפָה,hosafa,hosaf,n,addition
נַגָּד,nagad,nagad,n,resistor (electricity)
סֶרֶן,seren,sarin,n,axle
מִידּוּר,midur,midur,n,compartmentalization
מִגְדָּל,migdal,migdal,n,tower
הַשְׁמָדָה,hashmada,haxmad,n,extermination
קוֹצֶר,kotzer,kotzur,n,insufficiency
תַּסְמִין,tasmin,tasmin,n,symptom
בְּהֵמָה,behema,bihim,n,beast
רֶווַח,revach,ravak,n,profit
זֶרֶם,zerem,zirum,n,movement (political/etc.)
כֶּשֶׁל,keshel,kaxal,n,failure
רוֹשֶׁם,roshem,roxam,n,impression
מַשְׁמָע,mashma,maxman,n,meaning
מַדִּים,madim,madim,n,uniform (clothing)
הֲזָנָה,hazana,hazan,n,nourishing
תַּרְכִּיז,tarkiz,tarkiz,n,concentrate
פַּרְשָׁן,parshan,parxan,n,commentator
פְּרִישׁוּת,prishut,prixut,n,asceticism
מֶרֶד,mered,mirad,n,revolt
חֲקִיקָה,chakika,hakik,n,engraving
מַיִם,mayim,mayim,n,water
הֶדֶק,hedek,hidik,n,trigger
מִטְעָן,mit'an,mitan,n,charge (electricity)
סִינְווּר,sinvur,sinvur,n,dazzling
תְּהוּדָה,tehuda,tahud,n,resonance
תַּרְדֵּמָה,tardema,tardim,n,hibernation
מָנוֹס,manos,manos,n,escape
קִנְייָן,kinyan,kinyan,n,asset/property
מֵיכָל,mechal,mihal,n,container
רִיטּוּט,ritut,ritut,n,vibration
סִינּוּן,sinun,sinun,n,filtration
הֲבָרָה,havara,havar,n,syllable
רִיבִּית,ribit,ribit,n,interest (banking)
שָׁלוֹם,shalom,xalom,n,welfare
הַגְזָמָה,hagzama,hagzam,n,exaggeration
קִיּוּם,kiyum,kiyum,n,existence
יִיסּוּד,yisud,yisud,n,establishment
הֲצָלָה,hatzala,hatzal,n,casting a shadow
הַתְקָפָה,hatkafa,hatkaf,n,attack/seizure
נִימּוּק,nimuk,nimuk,n,justification
נִיפּוּץ,niputz,niputz,n,smashing
גִּיּוּס,giyus,giyus,n,recruitment
כָּפִיף,kafif,kafif,n,subordinate
הֲשָׂמָה,hasama,hasam,n,placement
טֶקֶס,tekes,tikis,n,ceremony
חֲרָטָה,charata,harat,n,regret
מִבְרָק,mivrak,mivrak,n,telegram
יוֹשֵׁב,yoshev,yoxiv,n,resident
חֵירוּם,cherum,hirum,n,emergency
חִילּוּף,chiluf,hiluf,n,replacement
מְצוּדָה,metzuda,mitzud,n,fortress
גַּסּוּת,gasut,gasut,n,discourtesy
שִׁיּוּט,shiyut,xiyut,n,drifting
פִּיצּוּל,pitzul,pitzul,n,fragmentation
שׁוּמָּן,shuman,xuman,n,fat
מִגְרָשׁ,migrash,migrax,n,field
הַקְרָנָה,hakrana,hakran,n,radiation
קֶרֶב,kerev,kiruv,n,inside
יָמִין,yamin,yamin,n,right (side)
חֵקֶר,cheker,hikar,n,research
תַּפְקִיד,tafkid,tafkid,n,duty
מֵיתָר,metar,mitar,n,string
פִּיזּוּר,pizur,pizur,n,scattering
טֶבַח,tevach,tavak,n,slaughter
סַחַר,sachar,sahar,n,trade/commerce
יוּהֲרָה,yuhara,yuhar,n,arrogance
הֱיוֹת,heyot,hiyot,n,being
מְחִיקָה,mechika,mahik,n,erasure
בִּילּוּשׁ,bilush,bilux,n,detection
פֶּלֶךְ,pelech,palik,n,area
הֶיקֵּף,hekef,hakif,n,scope
גּוֹרָל,goral,goral,n,fate/destiny
חֲרָדָה,charada,harad,n,anxiety
מוּתָג,mutag,mutag,n,brand (name)
קֵפֶל,kefel,kifal,n,fold/crease
קֶלֶט,kelet,kalit,n,input (computing)
חוֹסֶר,choser,hosir,n,lack
גִּיבּוֹר,gibor,gibor,n,hero
יֶתֶר,yeter,yitur,n,chord
גּוֹדֶל,godel,godal,n,magnitude
מוּשָּׂג,musag,musag,n,concept/idea
הוֹבָלָה,hovala,hoval,n,transport
תֶּדֶר,teder,tadir,n,frequency
דֶּלֶת,delet,dalat,n,door
מִזְווָד,mizvad,mizvad,n,luggage
יוֹמָן,yoman,yoman,n,log (diary)
לֵיצָן,letzan,litzan,n,clown
תָּווִית,tavit,tavit,n,label/characterization
נִיכּוּר,nikur,nikur,n,alienation
מַהוּת,mahut,mahut,n,character (nature)
בִּיקּוּר,bikur,bikur,n,visit
נִיצּוּל,nitzul,nitzul,n,usage
הֶתְקֵף,hetkef,hitkaf,n,spasm
נִיתּוּק,nituk,nituk,n,severing
תַּגְמוּל,tagmul,tagmul,n,compensation
הֲפָקָה,hafaka,hafak,n,production
לִיכּוּד,likud,likud,n,consolidation
